cfg,seed,t,trace_sigma,kl_from_initial,gini_exposure,exposure_entropy,catalog_coverage,intra_list_diversity,observed_quality,true_quality,intra_cluster_variance,inter_cluster_distance
closed_loop,0,0,28.46706225621183,0.015451732123396567,0.8857133333333338,3.838137891551916,0.27666666666666667,2.982602115652463,0.686,0.47579649464414575,0.5694181285489611,8.453432004961766
closed_loop,0,1,26.93260939855064,0.05041307216975799,0.8214622222222229,4.284314571993095,0.39666666666666667,2.9709249962260986,0.662,0.4428567669887578,0.5386686806515388,8.222903287218344
closed_loop,0,2,25.31360046405862,0.0932210789218823,0.7850800000000008,4.4618973145926635,0.4533333333333333,3.1617344015581366,0.6266666666666667,0.4273995185520394,0.5047836435264695,7.972224306200137
closed_loop,0,3,24.209384567459377,0.1600799188187113,0.7597577777777785,4.564929895027567,0.4866666666666667,3.250578654843403,0.6436666666666667,0.42642023973193954,0.4765350754986477,7.806250636888798
closed_loop,0,4,22.900870173137008,0.21286507725235781,0.7511466666666675,4.60288764165265,0.51,3.31400144745032,0.6536666666666666,0.4161584351454216,0.4541315961119771,7.586737946562465
closed_loop,0,5,21.849030951789043,0.2925482614414211,0.7415288888888896,4.643005204090695,0.5366666666666666,3.32985919231052,0.683,0.40726338408815455,0.43200664912007786,7.417059897414013
closed_loop,0,6,20.66403012398419,0.3836396628531913,0.7306977777777786,4.674827193295003,0.5533333333333333,3.3642466106151514,0.663,0.3991996376884613,0.41204753455300436,7.200051299643937
closed_loop,0,7,19.538120780100662,0.4823472410299068,0.7249733333333342,4.692474124327764,0.57,3.3872997024273688,0.64,0.38078555245393075,0.3850424719777044,7.012009511928576
closed_loop,0,8,18.385918484613292,0.5926369884468128,0.720991111111112,4.701973970236651,0.57,3.4741015915090285,0.6536666666666666,0.3776552780661815,0.3632418882771275,6.7974479589026755
closed_loop,0,9,17.397320934104606,0.7046001864038496,0.7097577777777786,4.734527344578292,0.5633333333333334,3.644940626289274,0.638,0.37176400816914545,0.34382321385931847,6.610321822730039
closed_loop,0,10,16.61860310945604,0.8137714198510133,0.696020000000001,4.775741207988293,0.58,3.834549187054525,0.6813333333333333,0.34925673187113093,0.32677964813313326,6.460069676308411
closed_loop,0,11,15.865633479729775,0.9739993180645625,0.6703955555555565,4.880811269477659,0.6766666666666666,4.236796812284505,0.6603333333333333,0.42736017527751224,0.31033236117135893,6.320003133222065
closed_loop,0,12,14.961730533759102,1.1142038170428565,0.6394666666666677,4.96814804745874,0.7,4.469042261412917,0.6143333333333333,0.3140969919579247,0.29114795972830027,6.137978231253766
closed_loop,0,13,14.138875652956683,1.234539375795024,0.6371577777777788,4.972006785405613,0.7066666666666667,4.481681690302292,0.6236666666666667,0.2349284267671948,0.2804361892774834,5.969802799236949
closed_loop,0,14,13.381474763074587,1.3957141079721536,0.6349600000000009,4.973132503527996,0.6933333333333334,4.614126555238275,0.586,0.19156518238427914,0.2630494846698461,5.7850161282829555
closed_loop,0,15,12.436527831670993,1.5373821295630143,0.6203600000000011,5.010537402493549,0.7,4.81006686968495,0.5946666666666667,0.18134132578066767,0.2490941542855917,5.585301227425231
closed_loop,0,16,11.78143420010641,1.686901581841634,0.6117666666666678,5.030220515573642,0.7033333333333334,4.99692674187122,0.6106666666666667,0.19902737077498192,0.23505533309976326,5.429557928743622
closed_loop,0,17,11.108641255696753,1.8298969140676926,0.6062666666666678,5.042810808605584,0.7033333333333334,5.0807147074637475,0.602,0.21353809857444195,0.22245479259505277,5.271597537414754
closed_loop,0,18,10.576052251443087,1.990260163655593,0.5923733333333345,5.074202934358383,0.7166666666666667,5.089754118627808,0.5586666666666666,0.233739582994178,0.21035783854920023,5.132227798762014
closed_loop,0,19,9.994566703834192,2.191261848477037,0.5813711111111123,5.09570723217565,0.7266666666666667,5.181360763349358,0.6323333333333333,0.25379580016914605,0.19791968405361196,5.003134340854046
closed_loop,0,20,9.534519363425431,2.3537562851460176,0.5869933333333346,5.087931995595154,0.7233333333333334,5.264526182495465,0.623,0.2748274031826673,0.18538578631250077,4.880771972995273
closed_loop,0,21,9.237461394859398,2.5371917303675833,0.7252977777777786,4.710737639482,0.7133333333333334,4.101321541700575,0.662,0.4431170093545551,0.17447954693459952,4.817671128167212
closed_loop,0,22,8.90536194565727,2.7126931511126564,0.672451111111112,4.892518701902144,0.7933333333333333,4.293781831423927,0.6766666666666666,0.40865977065976816,0.16444488949854918,4.744774525439903
closed_loop,0,23,8.610197379978478,2.907253955457163,0.6193133333333345,5.033104066013827,0.8133333333333334,4.536225301012772,0.6346666666666667,0.3710915757177392,0.1545649400928437,4.66636962234854
closed_loop,0,24,8.235171200082023,3.0680533967929993,0.5991533333333343,5.081454488423817,0.8266666666666667,4.744182472948905,0.6873333333333334,0.32927898877465084,0.1479687952360877,4.570534355120965
closed_loop,0,25,7.767129334675571,3.2818391136268756,0.5776244444444458,5.126418520829056,0.8166666666666667,4.869805192584797,0.6436666666666667,0.286565568132523,0.13942225161941235,4.437257278061074
closed_loop,0,26,7.2465850504748355,3.533262658358587,0.5566955555555568,5.171923977457704,0.85,4.978453514043133,0.625,0.23983161861589225,0.13074526401699116,4.288321213510472
closed_loop,0,27,6.849111773515745,3.6858382780157184,0.5641066666666678,5.1569610249952085,0.8466666666666667,4.925150090312164,0.6016666666666667,0.20855779818804848,0.12652569944952102,4.165497735655397
closed_loop,0,28,6.416033354842481,3.83797076417921,0.5600200000000014,5.16416215656157,0.84,4.870808959446299,0.6073333333333333,0.1894891704248194,0.1244119831853332,4.010501889988573
closed_loop,0,29,5.984815565111023,4.133990505359603,0.5649422222222232,5.151862015117054,0.8333333333333334,4.93037508592646,0.602,0.1701608305430512,0.11643191879417429,3.863495114229858
closed_loop,0,30,5.547812052778021,4.318600596640573,0.5691044444444457,5.13759790006137,0.8066666666666666,5.083106570508832,0.5966666666666667,0.15866309455514807,0.11473752589088167,3.703144743781405
closed_loop,0,31,5.1816212689529095,4.526140256017424,0.7915422222222228,4.431799421265996,0.54,3.738415307332484,0.628,0.28578391762408945,0.11049165372748108,3.5637812411694223
closed_loop,0,32,4.769863862157796,4.757019076554069,0.7107400000000008,4.759533706195615,0.6266666666666667,4.020580748871496,0.583,0.19952156156246442,0.10506383946850022,3.4162382492515717
closed_loop,0,33,4.320168986628808,4.984238091771154,0.6638022222222231,4.893347640917795,0.66,4.098576518882465,0.6076666666666667,0.1416962115835868,0.10103816005455608,3.229193540188941
closed_loop,0,34,3.8949330439538734,5.1886451247835845,0.6411666666666678,4.958185638787109,0.7066666666666667,4.1769541390851765,0.5783333333333334,0.11319464136506627,0.09701497487106599,3.0501790548470695
closed_loop,0,35,3.5304353848381833,5.469375850772613,0.61302888888889,5.034226093801374,0.7566666666666667,4.397077624872882,0.5783333333333334,0.09817647533376866,0.0930219940679573,2.885149904719769
closed_loop,0,36,3.14357639448681,5.709076538265797,0.6136155555555567,5.030834507733976,0.7533333333333333,4.543583123774785,0.589,0.09946904436389516,0.08901505216455607,2.6909289800293883
closed_loop,0,37,2.815886257379917,5.955654580869295,0.6158210947930588,5.023341617281047,0.7466666666666667,4.575763003532569,0.5891188251001335,0.0943327698408977,0.08468812418783798,2.5300681282952784
closed_loop,0,38,2.54039035243939,6.200893823323698,0.6333043575169965,4.977509400547207,0.72,4.5436503214041,0.5807422266800402,0.09607864364991095,0.08236641107000892,2.3697397172816004
closed_loop,0,39,2.311335171885159,6.46917064805889,0.6403661531591885,4.964180534151024,0.7333333333333333,4.519691700233059,0.5823844608171467,0.10791690224935702,0.07912102155106447,2.234194578540334
closed_loop,0,40,2.108728583065615,6.707248084740412,0.6575947800652502,4.912017044274251,0.67,4.477629063443623,0.5707053661829227,0.12534509200542746,0.07755258858175194,2.098473967763137
closed_loop,0,41,1.909058201683741,6.965525417311284,0.7807951281167421,4.490268009519985,0.5233333333333333,4.380897352615837,0.6315063771113409,0.161473373120729,0.0740010049791332,1.96926367701823
closed_loop,0,42,1.7565309968147425,7.1711574758753365,0.7503447456015224,4.612086863481942,0.5266666666666666,4.173597491275391,0.5902282453637661,0.16937465073585642,0.07039969723468503,1.8774087005221463
closed_loop,0,43,1.6219596934194656,7.453188874703774,0.7538167170191347,4.587546756619293,0.5233333333333333,3.971065008899218,0.6227341389728097,0.18153682855162379,0.06567598238519688,1.7920025457851392
closed_loop,0,44,1.5364637602873144,7.62411673038803,0.7713782183670668,4.521134017767811,0.5,3.946123568291049,0.6146220570012392,0.19319595202782172,0.061092491543051075,1.7466797330178583
closed_loop,0,45,1.4562235629973348,7.79402327459661,0.7848862602365795,4.468571535491337,0.49666666666666665,3.9730023691647354,0.5809827115559599,0.207994899592555,0.05714115613981341,1.7021051678633858
closed_loop,0,46,1.3541457864476227,8.008232800754854,0.7919610803556456,4.441733951868157,0.5133333333333333,3.9769347870874894,0.6044287871162557,0.21414034409819935,0.051922400540072,1.654711950528301
closed_loop,0,47,1.3066175820335766,8.152796189064514,0.7947553516819578,4.43108170667906,0.5333333333333333,4.108727511070495,0.6089449541284404,0.2043423547246173,0.0491684654454135,1.6269526881682614
closed_loop,0,48,1.242698494640017,8.28480428410321,0.7917400690846295,4.439578688329382,0.5,4.150160179772186,0.6301813471502591,0.18059915579344718,0.044983022233933634,1.6004669709329902
closed_loop,0,49,1.2181886907571207,8.409449523093251,0.7916678805535331,4.435070395516982,0.49666666666666665,3.911073219926791,0.6227239621267298,0.1689790156856385,0.04325099912983318,1.5922514647935284
closed_loop,0,50,1.1925887717428156,8.521247135869954,0.7737158469945362,4.509959878889754,0.4633333333333333,4.042268217542215,0.5967213114754099,0.15129609050450699,0.042046969034146335,1.5679601954580342
closed_loop,0,51,1.1544898110343875,8.621946010164205,0.812225153913809,4.33077390368655,0.41,4.28721247816103,0.592788038698329,0.20304769715090842,0.04103886402142388,1.5444489342144845
closed_loop,0,52,1.1186540217031085,8.681442904200278,0.7839953134153493,4.466440254225513,0.45666666666666667,4.296901824240435,0.5746924428822495,0.1703414229246147,0.04124818666451243,1.5082237010528647
closed_loop,0,53,1.1194062832168157,8.701762516629895,0.7801967592592599,4.4832061088389095,0.45666666666666667,4.211941548097085,0.6111111111111112,0.1468160084388841,0.042964658875101536,1.4948114749164798
closed_loop,0,54,1.1063427399797376,8.744407947314384,0.7685369774919623,4.526175724458378,0.4866666666666667,4.200059219746372,0.6229903536977492,0.14918983291496146,0.04484508880031198,1.471665485428142
